guest,favorite skater,favorite style,biggest influence,most talented,season,episode,yob
bobby de keyzer,ryan gallant,,,,1,1,1995
js lapierre,nick trapasso,,,,1,2,
jed anderson,van wastell,,,,1,3,
paul liliani,mike carroll,,,,1,4,
tj rogers,mark appleyard,,,,1,5,1991
ben blundell,stevie williams,,,,1,6,1993
wade desarmo,gino iannucci,,,,1,bonus,
morgan smith,,,,,1,bonus,
corey sheppard,justin bokma,,,,2,3,1979
darren harper,lavar mcbride,,,,2,4,1982
paul rodriguez,eric koston/andrew reynolds/tom penny,,,,2,5,1984
russ milligan,gino iannucci,,,,2,6,
brian delaney,jb gillet,,,,2,7,
rick mccrank,mark gonzales,,,,2,8,1976
kevin lowry,jake johnson/ave,,,,2,9,
stevie williams,guy mariano,austyn gillette,,,2,10,1979
nick tucker,paul rodriguez/eric koston/tom penny/andrew reynolds,jacob williams,,,2,11,1990
brandon biebel,paul rodriguez,bryan herman,,,2,12,
tim o'connor,mike carroll,mike carroll/brian lotti,,,3,1,1978
brian anderson,mark gonzales,ben schroeder,,,3,2,1976
chad dickson,carlos ribeiro,carlos ribeiro,,tiago lemos,3,3,1986
ryan lay,keenan milton,tom knox,,tiago lemos/bobby de keyzer/dylan rieder,3,4,1988
mark appleyard,jeremy wray,stevie williams,,shane o'neill,3,5,1982
mike mcdermott,rick howard,,,bobby de keyzer,3,6,
gailea momolu,shane o'neill,,,wade desarmo/shane o'neill/mark appleyard,3,7,
sascha daley,andrew reynolds/wes kremer/ishod wair/arto saari,wes kremer,,wes kremer,3,8,1987
stefan janoski,mike carroll/heath kirchart,kyle leeper,,shane o'neill/ishod wair/carlos ribeiro/diego najera/bobby de keyzer,3,9,1979
bastien salabanzi,daewon song,marc johnson,,shane o'neill,3,10,1985
gilbert crockett,jon rowe,ty bell,,grant taylor,3,11,1989
chima ferguson,lucas puig,rowan zorilla,,ishod wair,3,12,1989
grant patterson,tom penny,anthony pappalardo,,,3,bonus,
elijah berle,john cardiel/ave,ave,,daan van der linden/ishod wair,4,1,1995
ryan gallant,matt hensley,kenny anderson/erik ellington,,pj ladd,4,2,1982
sammy winter,gino iannucci,ave,,shane o'neill,4,3,1986
aaron herrington,diego najera/mark gonzales,bobby de keyzer,,bobby de keyzer,4,4,1989
johnny layton,geoff rowley,brian anderson,,ishod wair,4,5,1986
jake phelps,mark gonzales,john cardiel,,mark gonzales,4,6,1962
mitch barrette,miles silvas,mike fife,,shane o'neill,4,7,1988
mark suciu,dennis busenitz,anthony pappalardo,,tiago lemos,4,8,1992
eli reed,mark gonzales,robbie gangemi,,rodney mullen,4,9,1985
brian wenning,fred gall,antwuan dixon,,ave,4,10,1981
johnny tang,wade desarmo/morgan smith,danny renaud,,shane o'neill,4,11,
brandon turner,tom penny,gino iannucci,,daewon song,4,12,1982
morgan smith/wade desarmo,javier sarmiento/tiago lemos,tom penny/grant patterson,,travis stenger/tiago lemos/herbert davy,5,1,
windsor james,nick trapasso/angel ramirez,nick trapasso/wade desarmo/erik ellington,,ishod wair,5,2,1986
nora vasconcellos,mark gonzales/ishod wair/grant taylor,raven tershy,,ishod wair,5,3,1992
magnus hanson,dennis durante,bradley sheppard,,louie lopez,5,4,
robbie brockel,grant taylor,ishod wair,,ishod wair,5,5,1990
corey duffel,ethan fowler,ethan fowler,,grant taylor,5,6,1984
richard rizzo,max palmer,matt reason,,ishod wair,5,7,1996
leo romero,heath kirchart,john alley,,bob burnquist,5,8,1986
jerry hsu,rowan zorilla,tino razo,,daewon song/bob burnquist/marc johnson,5,9,1981
clint walker,john alley/cole wilson,jerry hsu,,shane o'neill/tiago lemos,5,10,1990
bryan herman,andrew reynolds,lucien clarke,,shane o'neill,5,11,1986
alex olson,scott oster,mike carroll,,max palmer,5,12,1986
chima ferguson,jake hayes,jake hayes,,,6,1,1989
james hardy,john alley,john alley/jack kirk,,ishod wair,6,2,1989
dan lu,mark appleyard,nick trapasso,,tony hawk,6,3,1990
daryl angel,kevin rodrigues,brian anderson,,mark suciu,6,4,1988
jamie tancowny,,julian davidson,,nyjah huston,6,5,1990
ted barrow,ave,alex olson,,wes kremer,6,6,
austyn gillette,dennis busenitz,stefan janoski,,grant yansura,6,7,1991
weckingball,weckingball,mark suciu,,kyle nicholson,6,8,
jamie thomas,john cardiel,donny barley/wes kremer,,nyjah huston,6,9,1974
dustin henry,rick howard/rick mccrank,ben blundell,,jesse alba,6,10,1994
tony tave,antwuan dixon,wes kremer,,ishod wair,6,11,1987
nick trapasso,shane cross/van wastell/jake duncombe,van wastell/jamie tancowny/tony tave,,wes kremer/dann van der linden/grant taylor,6,12,1989
wes kremer,danny way,tom penny,,evan smith,7,1,1989
josh wilson,fred gall,fred gall/jake johnson,jake johnson,tiago lemos,7,2,1993
tony trujillo,john cardiel,eric dressen,wade speyer,phil shao,7,3,1982
matt berger,marc johnson,marc johnson,marc johnson,chris joslin,7,4,1993
matt miller,rob welsh,gino iannucci,josh kalis/rob welsh/ave,wes kremer/evan smith,7,5,
brandon westgate,leo romero,aaron suski/donny barley,anthony shetler/nick dompierre,,7,6,1989
pat sinner pasquale,tom penny,tom penny/nick trapasso,chad muska,nyjah huston,7,7,
nick dompierre,dennis busenitz,kenny anderson,mark appleyard,luan oliveira,7,8,1986
dan plunkett,daan van der linden,,andrew reynolds/eric koston,grant taylor,7,9,1985
torey goodall,mike carroll,lavar mcbride,mike york,bradley sheppard,7,10,
justin henry,ave,al davis,al davis/ave,jake johnson,7,11,1995
gary rogers,mark suciu,mark suciu/marcos montoya,mark suciu,ishod wair/tyshawn jones,7,12,1991
pedro delfino,john cardiel,jake johnson,john cardiel,et,8,1,1995
mikey taylor,eric koston,gino iannucci,mark appleyard,guy mariano,8,2,1982
mike hastie,paul machnau,donny barley,paul machnau,todd falcon/ishod wair/grant taylor,8,3,
william strobeck,dylan rieder/mark gonzales/tyshawn jones,stevie williams/sean pablo,jason dill,dylan rieder,8,4,1978
bradley sheppard,brandon westgate,riley boland,jon west,rick mccrank,8,5,
joe castrucci,mike carroll,mark gonzales,keith hufnagel,mark suciu,8,6,
korahn gayle,ishod wair/chewy cannon/lucien clarke,,,ishod wair,8,7,1989
sean pablo,kevin rodrigues/kevin bradley/ben kadow/aidan mackey,gino iannucci/van wastell/heath kirchart,dylan rieder/jason dill/ave,rowan zorilla,8,8,1997
silas baxter-neal,rick mccrank,stefan janoski,andrew reynolds/jamie thomas,gustav tønnesen/daewon song,8,9,1984
colt cannon,phil shao,phil shao,phil shao,,8,10,
kerry getz,eric koston,mike carroll,tom penny,mark suciu,8,11,1975
brad cromer,pj ladd,marc johnson,pj ladd/andrew reynolds,ishod wair,8,12,1988
"rob ""sluggo"" boyce",colin mckay,evan smith,steve caballero/christian hosoi,chris haslam,9,1,1969
caswell berry,steve caballero/brian anderson/wade speyer,phil shao,jamie thomas,,9,2,1987
evan smith,kenny anderson,figgy,grant taylor,grant taylor,9,3,1991
jesse alba,pat rakestraw,bob burnquist,jason adams,hjalte halberg,9,4,1994
arron johnson,sascha daley,zach barton,andrew reynolds,wade desarmo,9,5,
danny renaud,tim o'connor,tim o'connor,,daewon song,9,6,
mason silva,ed templeton,reese forbes,brandon westgate/jeremy wray,guy mariano,9,7,
dom henry,josh kalis,keenan milton/tom penny,kevin frances/joseph funger,javier sarmiento,9,8,
louie lopez,jake johnson,keenan milton/grant taylor,daewon song,kevin bradley,9,9,
scott kane,marc johnson,mark appleyard,marc johnson,marc johnson,9,10,
chad tim tim,guy mariano,guy mariano/kenny anderson/heath kirchart/dan drehobl/john cardiel,guy mariano/mike carroll/justin reynolds/danny montoya/rob gonzales,ishod wair/louie lopez,9,11,
fred gall,sean sheffey,matt hensley,matt hensley,,9,12,
oscar candon/albert nyberg,fred gall/ave/kyle leeper,ave/marc johnson,ray barbee,,10,1,
davis torgerson,kenny anderson,kenny anderson,geoff rowley/marc johnson/mike carroll/mike anderson,shane o'neill,10,2,
pat burke,gilbert crockett,chad muska,andrew reynolds,jon alley,10,3,
kevin spanky long,jerry hsu,heath kirchart,andrew reynolds,gailea momolu,10,4,
darrell stanton,grant taylor,grant taylor,lavar mcbride/andrew reynolds,nyjah huston,10,5,
dwayne fagundes,stevie williams,tiago lemos,stevie williams,rodrigo tx,10,6,
ben gilley,arto saari/heath kirchart/ed templeton,dylan rieder,frank hirata,dennis busenitz/marc johnson,10,7,
karl watson,shane o'neill,deandre thebpanya aka lil dre,marc johnson/guy mariano/brian lotti,daewon song,10,8,
caleb barnett,lavar mcbride,lavar mcbride,antwuan dixon/brian anderson,dashawn jordan,10,9,
gabriel summers,dustin dollin/heath kirchart,john alley/heath kirchart,dustin dollin,shane o'neill,10,10,
johan stuckey,heath kirchart,rick howard,dane brady,ishod wair/gilbert crockett/austyn gillette,10,11,
danny garcia,eric koston,mike carroll,eric koston,austyn gillette,10,12,
will marshall,tom snape/kyle wilson/ross norman/tony tave,brandon turner,spencer hamilton/wade desarmo,wes kremer,11,1,
hjalte halberg,chris milic,julien stranger,marc johnson,daan van der linden,11,2,
cairo foster,rick howard/mike carroll,rick howard,rick howard,shane o'neill/ishod wair,11,3,
wade desarmo,tiago lemos,gino iannucci,gino iannucci/tom penny,ishod wair,11,4,
grant yansura,heath kirchart/joel meinholz,tiago lemos/jake johnson,jason adams/reese forbes,tiago lemos/grant taylor/ishod wair,11,5,
heitor da silva,kyle wilson,kyle wilson,ishod wair,gustav tønnesen,11,6,
breana geering,marisa dal santo,dylan rieder,elissa steamer/marisa dal santo,john cardiel,11,7,
kenny reed,brian lotti,jason lee,guy mariano,tony hawk,11,8,
dennis durrant,jeremy wray/daewon song,tom snape,jeremy wray/daewon song,andrew reynolds,11,9,
ali boulala,mike carroll,,jim greco/andrew reynolds,tom penny,11,10,
dennis busenitz,john cardiel,gino iannucci,donny barley,mark suciu,11,11,
erik ellington,matt hensley,keenan milton,mike carroll,eric koston,11,12,
kyle wilson,tiago lemos,heitor da silva,tiago lemos,tiago lemos/heitor da silva,12,1,
tom snape,james wright,rob welsh,james wright,aussie dave,12,2,
justin brock,john cardiel,john cardiel,john cardiel,eric koston,12,3,
jahmir brown,kevin bilyeu,,stevie williams,dylan sourbeer/kevin bilyeu/brian panebianco/chris falo,12,4,
ryan smith,mike carroll,heath kirchart,mike carroll,danny way,12,5,
kelly hart,brian wenning,gino iannucci,brian wenning/pj ladd,ishod wair,12,6,
vincent alvarez,mark gonzales,julien stranger,chad muska,nyjah huston,12,7,
ryan decenzo,paul machnau,wade desarmo,wade desarmo/paul machnau,ishod wair,12,8,
hugo balek,antoine asselin,tom knox,tomo bara/antoine asselin/chris mongenne,eric riedl,12,9,
walker ryan,wes kremer,wes kremer,mark appleyard,ishod wair,12,10,
shane heyl,mike carroll,javontae turner,jamie foy/ishod wair,,12,11,
alexis sablone,donny barley/brian anderson/stevie williams/mike maldonado,donnie barley/stevie williams,trevor thompson,louie lopez,12,12,
jeff lenoce,rodrigo tx,gino iannucci,tom penny,shane o'neill,13,1,
cyrus bennett,van wastell,van wastell,ali boulala/jim greco,yuto horigome,13,2,
damian bravo,mark gonzales/jeron wilson,mark gonzales,jeron wilson/richard mulder,mark gonzales,13,3,
marisa dal santo,jim greco,geoff rowley,jim greco/misled youth,arto saari/heath kirchart,13,4,
alexis lacroix,joe valdez,funky,joe valdez,zander,13,5,
zack wallin,john cardiel,marc johnson,john cardiel,louie lopez,13,6,
mike maldonado,mark gonzales/sean sheffey,sal barbier,sean sheffey/mark gonzales/sal barbier/matt hensley,kyle nicholson,13,7,
kevin white,keenan milton,gino iannucci,keenan milton,gustav tønnesen,13,8,
tommy sandoval,arto saari/andrew reynolds,evan smith/erick winkowski/wes kremer,arto saari/heath kirchart/jamie thomas,,13,9,
ian twa,tom penny,lavar mcbride,brian wenning,travis stenger,13,10,
jesus fernandez,guy mariano,gino iannucci,guy mariano/gino iannucci/chico brenes,fabio sarmiento,13,11,
carlos ribeiro,rodrigo tx,paul rodriguez,pj ladd,ishod wair,13,12,
jack o'grady,rowan zorilla,ave,grant taylor,guy mariano,14,1,
john dilo,ryan lay,max geronzi,youness amrani,jamie foy,14,2,
hugo boserup,phil shao,kyle wilson,peter stege/john cardiel/grant taylor,tiago lemos/ishod wair,14,3,
spencer hamilton,kyle wilson,kyle wilson/magnus bordewick,wade desarmo/paul rodriguez,paul trepp,14,4,
ryan townley,heath kirchart,heath kirchart/dylan rieder/danny garcia,heath kirchart/arto saari,grant taylor/ishod wair,14,5,
beagle,jamie foy,keenan milton,kareem campbell,jamie foy,14,6,
justin eldridge,marc johnson,keenan milton,eric koston,pj ladd/nyjah huston,14,7,
massimo cavedoni,antoine asselin,damian bravo,ronnie creager,john cardiel,14,8,1986
charles rivard,travis stenger,ben blundell,travis stenger,will marshall,14,9,
jt aultz,pat duffy/jeron wilson,keith hufnagel,pat duffy/geoff rowley/jamie thomas,guy mariano,14,10,1983
mike mo capaldi,heath kirchart,heath kirchart,pj ladd,shane o'neill,14,11,1990
ernie torres,ty/kenny anderson/ishod wair,ishod wair/kenny anderson,peter ramondetta/dennis busenitz/tony trujillo,ishod wair,14,12,1985
donovon piscopo,john fitzgerald,dylan rieder,anthony piscopo,ishod wair,15,1,1994
jake anderson,grant taylor,dylan rieder,mike anderson,dan plunkett/eric koston,15,2,1996
tony ferguson,guy mariano,keenan milton,jason lee,guy mariano/eric koston,15,3,1973
grady smith,jake johnson,jordan trahan,matt fink,brad cromer,15,4,1996
mark humienik,bobby puleo,bobby puleo,mark wetzel,,15,5,
danny fuenzalida,tom penny/mark appleyard/ish cepeda/silas baxter neal/mark suciu/gustav tønnesen,gustav tønnesen,danny way/pat duffy/tim o'connor/donny barley/quim cardona,daewon song,15,6,1982
john fitzgerald,wade speyer,sean sheffey,sean sheffey/wade speyer/brian anderson,ishod wair,15,7,1991
jimmy gorecki,kevin taylor,rob welsh,jr neebs,tony montgomery,15,8,
tom karangelov,ed templeton/omar salazar,omar salazar,ed templeton,daewon song,15,9,1989
john rattray,john cardiel,,sean sheffey,ishod wair,15,10,1977
oskar rosenberg,ville wester,tom penny,david stenström,antwuan dixon,15,11,1996
curren caples,grant taylor,grant taylor,bob burnquist,eric koston,15,12,1996
miles silvas,tiago lemos,tiago lemos,p rod,ishod wair/shane o'neill,16,1,1995
kris brown,ishod wair,caleb barnett,ishod wair,troy gipson,16,2,
anthony correa,keith hufnagel,gino iannucci,keith hufnagel,zered bassett,16,3,
jack curtin,gino iannucci,gino iannucci,ave,ishod wair,16,4,
donny barley,eric dressen,chico brenes,wade speyer,tom penny,16,5,
tyler surrey,jake johnson,tom penny,tom penny,pj ladd,16,6,
fabiana delfino,t-funk,chris colbourn,,andy anderson,16,7,
kevin braun,henry gartland,nick boserio,bobby de keyzer,erick winkowski,16,8,
daniel shimizu,mike carroll,gino iannucci,,daewon song,16,9,
nick boserio,,john cardiel,mark appleyard,grant taylor,16,10,
taylor kirby,ishod wair,rowan zorilla,grant taylor,ishod wair,16,11,
kader sylla,rowan zorilla,troy gipson,rowan zorilla,gustav tønnesen/daewon song,16,12,
omar hassan,mark gonzales,chris miller,mark gonzales,danny way,17,1,
JP souza,antwuan dixon,antwuan dixon,jb gillet,shane o'neill,17,2,
zion wright,ishod wair,rowan zorilla,grant taylor,,17,3,
wade fyfe,wade fyfe,,,russ milligan,17,4,
clyde singleton,sal barbier,julien stranger,sean sheffey,mark suciu,17,5,
chris wimer,figgy,jon allie,jon allie,ishod wair,17,6,
zachary kovacs,nick michel,nick michel,leo romero,leo romero,17,7,
reese forbes,natas kaupas,mark gonzales,sean sheffey,nyjah huston,17,8,
lee smith,brian lotti,kenny anderson,mike carroll,rodney mullen,17,9,
lui elliot,dylan rieder,dylan rieder,keith hufnagel,tyshawn jones,17,10,
jake hayes,andrew reynolds,bryan herman,arto saari,ishod wair,17,11,
nicole hause,grant taylor,grant taylor,grant taylor,yuto horigome,17,12,
josh kalis,mike carroll/kareem campbell,kareem campbell,,daewon song,18,1,
hermann stene,grant taylor,grant taylor,andrew reynolds,tiago lemos,18,2,
jerry fowler,mark gonzales,kenny anderson,ricky oyola,tiago lemos,18,3,
rowan zorilla,ali boulala,kader sylla,taylor smith,grant taylor,18,4,
tre williams,ishod wair,ishod wair,ishod wair,yuto horigome,18,5,1994
mike york,jason lee,gino iannucci,mark gonzales,daewon song,18,6,
ronnie kessner,ishod wair,bobby de keyzer,chris cole,shane o'neill,18,7,
dominick walker,jamie campbell,mark gonzales,david loy,daewon song,18,8,
jake kuzyk,cyrus bennett,landon,nick,yuto horigome,18,9,
hayley wilson,ishod wair,grant taylor,guy mariano,ishod wair,18,10,
gifted hater,eetu toropainen,chris cole,ryan sheckler,yuto horigome,18,11,
sean malto,eric koston,kenny anderson,rick mccrank,kevin bradley,18,12,
ave,guy mariano,guy mariano/gino iannucci,guy mariano/jason dill,,19,1,
kevin bradley,theotis beasley,jimmy wilkins/jack ogrady,,rowan zorilla,19,2,
james craig,guy mariano,rick howard,peter ortiz/gideon troy,jackson pilz,19,3,
jordan taylor,jordan trahan,dennis busenitz,mike maldanado,ishod wair,19,4,
patrick praman,chima ferguson,antwuan dixon,figgy,dan van der linden,19,5,
jeron wilson,guy mariano,keenan milton,,eric assad,19,6,
ish cepeda,paul rodriguez,antwuan dixon,paul rodriguez,ishod wair,19,7,
keelan dadd,paul rodriguez/stevie williams,paul rodriguez,stevie williams/paul rodriguez,yuto horigome,19,8,
tanner burzinski,ishod wair/kenny anderson,taylor smith/t spliff,tyler surrey,gustav tønnesen/daewon song,19,9,
atiba jefferson,kareem campbell,dylan rieder/keenan milton,javonte turner,kevin bradley/brian herman/guy mariano,19,10,
tosh townend,andrew reynolds,tom penny,andrew reynolds,andrew reynolds,19,11,
jason dill,mark gonzales/grant taylor/dylan rieder/mike carroll/gino iannucci/keenan milton,,,,19,12,