Video,Year,Duration,Tricks,Lines,Switch or Nollie,Wallrides,Flip Tricks,Cinched Pants
Stacked,1991,1:30,28,2,1,0,14,0
The Brotherhood,1991,1:05,21,3,2,0,9,0
Disturbed,1992,0:40,11,0,4,0,3,0
411 #8,1994,1:45,17,4,12,0,5,0
Eastern Exposure 2,1994,1:10,18,2,13,0,7,0
Real Life,1994,2:20,36,4,18,1,12,0
Thrasher Feats,1994,:35,10,1,6,0,3,0
Eastern Exposure 3,1996,:25,4,0,0,0,0,0
Timecode,1997,3:00,34,5,7,0,6,1
TWS Interface,1997,:30,10,1,5,0,4,0
411 # 30 AWS Ind.,1998,:30,9,1,6,0,1,1
Zoo York Peep This,1999,:13,3,0,1,0,0,0
Photosynthesis,2000,1:30,27,3,18,1,5,6
Collage,2001,:30,5,1,4,0,1,4
Mosaic,2003,2:15,34,4,11,5,9,0
Decade of Destruction,2005,3:40,55,7,1,3,8,0
Inhabitants,2007,5:00,68,8,12,10,15,0
Brutality,2008,2:50,51,8,3,6,4,0
Last of the Mohicans,2008,1:20,19,5,3,2,1,0
Frontside Skate Shop,2009,2:45,36,2,6,4,5,0
IPath Promo,2009,1:10,17,5,4,1,1,0
Habitat - Origins,2010,3:30,3,0,0,0,0,0
Worst Skater of the Year,2010,1:30,35,3,3,4,7,0
The Other Ones,2011,4:00,42,6,7,6,7,0
Welcome to Season,2011,1:30,7,0,3,0,1,0
Real Street,2012,1:00,18,2,1,0,2,0
Sober?,2012,2:00,13,2,0,3,1,0
Dirts Win,2013,11:10,17,1,6,0,4,3
Domestics,2013,1:45,16,2,1,2,3,0
Habitat - Search the Horizon,2013,:10,3,0,1,0,0,0
OJ Wheels,2015,2:30,17,2,1,4,3,0