"obstacle","year","cnt"
"Stairs","Get Radish",0
"Stairs","Brainwash",3
"Stairs","Gordo2k",2
"Stairs","Welcome to Ashbury",4
"Stairs","WKND Part",5
"Stairs","String Theory",0
"Stairs","WKND 2021",0
"Gap","Get Radish",37
"Gap","Brainwash",19
"Gap","Gordo2k",29
"Gap","Welcome to Ashbury",24
"Gap","WKND Part",30
"Gap","String Theory",26
"Gap","WKND 2021",23
"Ledge","Get Radish",16
"Ledge","Brainwash",22
"Ledge","Gordo2k",31
"Ledge","Welcome to Ashbury",16
"Ledge","WKND Part",25
"Ledge","String Theory",23
"Ledge","WKND 2021",26
"Hubba","Get Radish",0
"Hubba","Brainwash",8
"Hubba","Gordo2k",0
"Hubba","Welcome to Ashbury",0
"Hubba","WKND Part",0
"Hubba","String Theory",15
"Hubba","WKND 2021",0
"Manual","Get Radish",5
"Manual","Brainwash",6
"Manual","Gordo2k",11
"Manual","Welcome to Ashbury",12
"Manual","WKND Part",10
"Manual","String Theory",2
"Manual","WKND 2021",5
"Transition","Get Radish",0
"Transition","Brainwash",0
"Transition","Gordo2k",0
"Transition","Welcome to Ashbury",0
"Transition","WKND Part",2
"Transition","String Theory",0
"Transition","WKND 2021",0
"Handrail","Get Radish",21
"Handrail","Brainwash",14
"Handrail","Gordo2k",0
"Handrail","Welcome to Ashbury",0
"Handrail","WKND Part",8
"Handrail","String Theory",9
"Handrail","WKND 2021",10
"Flat Rail","Get Radish",5.6
"Flat Rail","Brainwash",44.4
"Flat Rail","Gordo2k",22.2
"Flat Rail","Welcome to Ashbury",11.1
"Flat Rail","WKND Part",11.1
"Flat Rail","String Theory",22.2
"Flat Rail","WKND 2021",16.7
"Wall","Get Radish",5.6
"Wall","Brainwash",0.0
"Wall","Gordo2k",16.7
"Wall","Welcome to Ashbury",5.6
"Wall","WKND Part",11.1
"Wall","String Theory",0
"Wall","WKND 2021",5.6
"Flat","Get Radish",5
"Flat","Brainwash",6
"Flat","Gordo2k",7
"Flat","Welcome to Ashbury",20
"Flat","WKND Part",2
"Flat","String Theory",19
"Flat","WKND 2021",15