year,transition,ledge,gapstairs,flat,other,art,rail
1981,8,,,1,1,2,
1982,5,,1,4,1,,
1983,9,,1,1,,1,
1984,7,,2,1,1,1,
1985,6,,2,,,4,
1986,7,,1,2,,2,
1987,7,1,,,,4,
1988,7,,,1,2,3,
1989,4,,,2,3,2,1
1990,5,1,1,2,,1,2
1991,5,1,1,3,1,1,
1992,1,4,5,,,,2
1993,1,3,3,,1,2,2
1994,4,2,1,,3,2,
1995,2,4,,,2,2,2
1996,3,1,2,,,3,3
1997,1,5,3,,1,,2
1998,2,2,5,,,2,1
1999,4,1,3,,,,4
2000,1,1,3,,1,1,5
2001,3,3,1,,,2,4
2002,2,1,3,,2,,5
2003,6,1,2,,,,4
2004,3,3,3,,1,,3
2005,3,2,2,,1,1,4
2006,2,,2,,1,,8
2007,4,,3,,,,6
2008,5,1,3,,1,,3
2009,1,3,5,,,,4
2010,2,1,2,,,1,7
2011,4,2,3,,,,3
2012,2,2,3,,,2,4
2013,5,,3,,,,8
2014,2,3,3,,2,,3
2015,3,3,2,,1,,5
2016,3,1,2,,1,,5
2017,4,1,4,,2,,2
2018,1,3,3,,,,6
2019,3,,5,,1,,3
2020,1,3,1,,1,1,5
2021,4,2,2,1,,,