year,totalstairs,topstairs,stairtricks,month,skater
1992,3,3,1,february,Eric Britton
1993,9,5,2,may,Julien Stranger
1994,9,9,1,november,Allen Peterson
1995,25,10,3,january,Mike Conway
1997,20,12,2,december,Brian Anderson
1998,15,8,2,february,Pat Duffy
1999,16,16,1,february,Geoff Rowley
2000,56,18,5,july,Arto Saari
2001,57,15,4,september,Geoff Rowley
2002,56,16,6,december,Andrew Reynolds
2003,71,13,6,march,Mark Appleyard
2004,65,18,5,may,Chris Dobstaff
2005,45,11,5,january,Jon Allie
2006,95,17,9,october,Tommy Sandoval
2007,95,51,5,november,Steve Nesser
2008,40,16,3,october,Billy Marks
2009,68,20,5,june,Don Nyugen
2010,76,17,6,december,James Hardy
2011,57,20,5,july,Jaws
2012,56,16,5,october,David Gonzales
2013,111,34,7,december,Dane Burman
2014,64,18,5,september,Dustin Dollin
2015,127,22,8,may,Jack Fardell
2016,90,25,7,march,Jaws
2017,70,24,5,september,Clive Dixon
2018,128,24,7,december,Zion Wright
2019,23,14,2,november,Felipe Nunes
2020,122,20,7,march,Jack O'Grady
2021,,18,,april,Jack O'Grady