"obstacle","year","month","staircount","skater"
"ledge",1988,"february","0","Julien Stranger"
"ledge",1992,"january","0"
"ledge",1993,"may","5","Julien Stranger"
"ledge",1995,"february","6","Fred Gall"
"ledge",1997,"december","12","Brian Anderson"
"ledge",1999,"june","10","Jeff Lenoce"
"ledge",2000,"october","10","Cairo Foster"
"ledge",2001,"september","15","Geoff Rowley"
"ledge",2002,"june","12","Darrell Stanton"
"ledge",2003,"february","12","Ryan Smith"
"ledge",2004,"june","10","Corey Duffel"
"ledge",2005,"january","10","Jon Allie"
"ledge",2009,"september","12","James Brockman"
"ledge",2010,"march","11","Chima Ferguson"
"ledge",2011,"november","12",Dakota Servold
"ledge",2012,"may","8","Corey Dufffel"
"ledge",2014,"september","18","Dustin Dollin"
"ledge",2015,"januarypudwill","13","Torey Pudwill"
"ledge",2016,"july","12","Daan Van Der Linden"
"ledge",2017,"february","7","Yonnie Cruz"
"ledge",2018,"february","10","Pedro Delfino"
"ledge",2020,"march","20","Jack O'Grady"
"ledge",2021,"february","9","Carlos Ribeiro"
"ledge",2022,"june","14","Giorgi Armani"