"trick","count"
"ollie",22
"kickflip",14
"bs crook",12
"fs air",12
"bs lipslide",10
"fs ollie",10
"bs smith",9
"fs 5050",9
"bs 5050",8
"fs grind",8
"fs nosegrind",8
"invert",8
"lien air",8
"bs air",7
"bs boardslide",7
"bs noseblunt",7
"fs boardslide",7
"fs noseblunt",7
"fs smith",7
"fs blunt",6
"fs kickflip",6
"bs 5-0",5
"fs 5-0",5
"fs feeble",5
"fs indie",5
"tre flip",5
"bs ollie",4
"bs tailslide",4
"bs wallride",4
"fakie ollie",4
"fs crook",4
"fs tailslide",4
"wallride",4
"bs 360",3
"bs blunt",3
"bs kickflip",3
"bs nosegrind",3
"fakie kickflip",3
"fs boneless",3
"fs invert",3
"kickflip to fakie",3
"melon",3
"method",3
"nose bonk",3
"shifty ollie",3
"kf to bs lipslide",2
"kf to bs tailslide",2
"kf to bs wallride",2